id,title,sourceUrl,contentVerdict,contentReason,sourceHttpStatus,sourceFinalUrl,recommendedAction,uscehubScreenshot,sourceScreenshot,jsonSidecar,note,targetFit,targetFitReason,matchRelevance,manualReviewNeeded,excludeFromCurrentWedge,futureLaneCandidate
cmn21125u002wsb11oliaiwmt,"Johns Hopkins Hospital","https://www.hopkinsmedicine.org/volunteer-services/observerships",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",403,"https://www.hopkinsmedicine.org/volunteer-services/observerships",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21125u002wsb11oliaiwmt-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21125u002wsb11oliaiwmt-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21125u002wsb11oliaiwmt-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn21122v002osb11pdpyrjab,"Cleveland Clinic","https://my.clevelandclinic.org/departments/international-medical-education/international-programs/physician-observer",PATH_HINTS_PROGRAM,"path_keywords:observer",200,"https://my.clevelandclinic.org/departments/international-medical-education/international-programs/physician-observer",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21122v002osb11pdpyrjab-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21122v002osb11pdpyrjab-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21122v002osb11pdpyrjab-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmn21120p002isb11jqbf2z81,"University of Illinois at Chicago (UIC)","https://medicine.uic.edu/education/international-education/observership-program/",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://medicine.uic.edu/education/international-education/observership-program/",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21120p002isb11jqbf2z81-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21120p002isb11jqbf2z81-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21120p002isb11jqbf2z81-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2111xq002asb11vcg045uc,"University of Chicago Medicine","https://www.uchicagomedicine.org/international/international-collaboration/education-and-training",DEEP_PATH_NO_HINT,"no_keyword_match",200,"https://www.uchicagomedicine.org/international/international-collaboration/education-and-training",MANUAL_REVIEW,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111xq002asb11vcg045uc-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111xq002asb11vcg045uc-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111xq002asb11vcg045uc-20260502.json,"Deep path with no keyword hit; review page text manually.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmn2111oz001ssb111wz1ddv5,"USC Keck Medical Center","https://sites.usc.edu/healthcare-edu/observership/",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://sites.usc.edu/healthcare-edu/observership/",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111oz001ssb111wz1ddv5-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111oz001ssb111wz1ddv5-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111oz001ssb111wz1ddv5-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2111mt001msb11fzpzozyu,"UCLA Medical Center","https://www.uclahealth.org/international-services/medical-education-training/physicians/physician-observerships",LIKELY_WRONG_PAGE,"wrong_page_hints:consulting",200,"https://www.uclahealth.org/international-services/consulting-education-services/medical-education-training/physicians/physician-observerships",WRONG_PAGE_REPLACE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111mt001msb11fzpzozyu-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111mt001msb11fzpzozyu-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111mt001msb11fzpzozyu-20260502.json,"Source URL contains wrong-page hint; admin re-link.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2111m1001ksb112erf1286,"Stanford Health Care","https://med.stanford.edu/shctv/education/observership.html",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://med.stanford.edu/shctv/education/observership.html",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111m1001ksb112erf1286-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111m1001ksb112erf1286-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111m1001ksb112erf1286-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2111fa0018sb11v9x51s6a,"BronxCare Health System","https://www.bronxcare.org/our-services/psychiatry/residency-program/volunteer-and-observership-opportunities",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.bronxcare.org/our-services/psychiatry/residency-program/volunteer-and-observership-opportunities",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111fa0018sb11v9x51s6a-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111fa0018sb11v9x51s6a-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111fa0018sb11v9x51s6a-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmo3385gq00171ny9bm6z8i3h,"Jackson Health System Observership Program","https://jacksonhealth.org/observership",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",403,"https://jacksonhealth.org/observership",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385gq00171ny9bm6z8i3h-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo3385gq00171ny9bm6z8i3h-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385gq00171ny9bm6z8i3h-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2115vt00bmsb11oodepaa9,"University of Mississippi Medical Center","https://www.umc.edu/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://www.umc.edu/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115vt00bmsb11oodepaa9-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2115vt00bmsb11oodepaa9-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115vt00bmsb11oodepaa9-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
