listingId,title,sourceUrl,uscehubScreenshotPath,officialSourceScreenshotPath,applicationScreenshotPath,jsonSidecarPath,verdict,recommendedAction,capturedAt,errorIfAny
cmn21128p0034sb11bh6ix3xv,"Mayo Clinic","https://college.mayo.edu/academics/visiting-medical-student-clerkships/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21128p0034sb11bh6ix3xv-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21128p0034sb11bh6ix3xv-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21128p0034sb11bh6ix3xv-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.416Z,
cmn2112nm0042sb119q64hx5i,"Drexel University / Hahnemann (Tower Health)","https://drexel.edu/medicine/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112nm0042sb119q64hx5i-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112nm0042sb119q64hx5i-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112nm0042sb119q64hx5i-20260502.json,DEEP_PATH_NO_HINT,MANUAL_REVIEW,2026-05-02T03:35:56.419Z,
cmn2115qt00b8sb11lj2ug8jv,"Geisinger Medical Center","https://www.geisinger.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115qt00b8sb11lj2ug8jv-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2115qt00b8sb11lj2ug8jv-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115qt00b8sb11lj2ug8jv-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.421Z,
cmn2111lb001isb11fb37azrf,"Stony Brook University Hospital","https://renaissance.stonybrookmedicine.edu/gme",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111lb001isb11fb37azrf-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111lb001isb11fb37azrf-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111lb001isb11fb37azrf-20260502.json,DEEP_PATH_NO_HINT,MANUAL_REVIEW,2026-05-02T03:35:56.424Z,
cmn2112qu0044sb11m7wwscho,"Duke University Hospital","https://medschool.duke.edu/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112qu0044sb11m7wwscho-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112qu0044sb11m7wwscho-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112qu0044sb11m7wwscho-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.425Z,
cmn21144u007esb11pfjw2mj2,"Yale School of Medicine — Postdoctoral Research","https://postdocs.yale.edu/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21144u007esb11pfjw2mj2-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21144u007esb11pfjw2mj2-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21144u007esb11pfjw2mj2-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.425Z,
cmn21130x004wsb112pfkq89t,"Newark Beth Israel Medical Center","https://www.rwjbh.org/newark-beth-israel-medical-center/education/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21130x004wsb112pfkq89t-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21130x004wsb112pfkq89t-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21130x004wsb112pfkq89t-20260502.json,DEEP_PATH_NO_HINT,MANUAL_REVIEW,2026-05-02T03:35:56.426Z,
cmn2111qh001wsb111gq2cngn,"UC Irvine Medical Center","https://www.ucihealth.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111qh001wsb111gq2cngn-20260502.png,,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111qh001wsb111gq2cngn-20260502.json,GENERIC_HOMEPAGE,SOURCE_DEAD_REVIEW,2026-05-02T03:35:56.426Z,page.screenshot: Timeout 30000ms exceeded.
Call log:
  - taking page screenshot
